x,y,width,height,area
1302,1402,22,20,408
1360,1402,22,20,424
1416,1402,22,20,424
1474,1402,22,20,424
1532,1402,22,20,429
1587,1402,22,20,423
1642,1402,21,20,375
1700,1402,22,20,425
2307,1485,24,19,440
2044,1487,22,20,440
2100,1487,22,20,440
2155,1487,23,20,460
443,1489,22,21,462
502,1489,22,21,444
617,1489,23,21,446
674,1489,23,21,469
734,1489,21,21,441
790,1489,22,21,445
848,1489,22,20,440
905,1489,22,20,425
961,1489,22,20,425
1017,1488,23,21,400
1076,1489,22,20,406
1134,1489,21,20,404
1189,1489,23,19,421
1248,1488,22,20,423
1303,1488,22,21,415
1362,1488,21,21,407
1417,1489,22,19,402
1475,1488,22,20,440
1533,1488,22,20,440
1589,1488,22,20,440
1643,1488,22,20,410
1702,1488,21,20,402
1758,1488,22,20,407
1817,1488,22,20,405
1873,1488,22,20,421
1931,1488,21,19,399
1987,1488,22,19,404
558,1490,23,20,449
1824,1572,30,16,304
2311,1657,23,21,468
1703,1661,22,21,420
1987,1661,22,21,414
2045,1661,22,21,446
2101,1661,23,20,447
2158,1660,23,21,464
793,1663,22,21,448
851,1663,22,21,462
908,1663,22,21,447
964,1663,22,21,445
1020,1663,23,21,468
1078,1663,23,21,427
1136,1663,22,21,446
1192,1663,22,20,424
1250,1663,22,20,425
1306,1663,21,20,420
1364,1663,22,20,423
1420,1662,21,21,428
1477,1662,22,21,441
1535,1662,22,21,462
1591,1662,21,21,441
1645,1662,21,20,420
1759,1662,22,20,423
1819,1662,21,20,420
1874,1662,22,20,440
1931,1662,22,20,424
446,1664,22,21,462
505,1664,22,21,462
562,1664,22,21,448
620,1664,23,21,450
677,1664,23,21,466
736,1664,22,20,440
2313,1749,22,20,440
2103,1751,22,20,407
2159,1751,23,20,426
1365,1753,22,21,429
1421,1753,21,20,420
1478,1753,22,20,424
1536,1753,23,20,423
1592,1752,22,20,405
1646,1752,21,21,415
1704,1752,22,20,409
1760,1752,22,20,409
1819,1752,22,20,391
1875,1752,22,20,428
1932,1752,21,19,399
1988,1752,21,19,399
2046,1752,22,19,418
506,1755,23,21,465
563,1755,22,21,430
622,1755,22,21,444
678,1755,23,20,447
737,1755,22,20,421
794,1755,22,19,418
852,1754,22,20,420
909,1754,22,20,428
965,1754,23,20,428
1022,1754,22,20,440
1080,1754,22,20,440
1138,1754,21,20,404
1194,1754,21,20,392
1251,1754,22,20,405
1307,1754,21,19,399
448,1756,22,20,440
1933,1837,20,20,386
1988,1837,22,20,440
2046,1837,22,20,440
2103,1837,22,20,440
2159,1837,23,20,446
2313,1836,22,19,418
1195,1839,21,21,441
1253,1839,21,21,441
1308,1839,22,21,429
1366,1839,22,20,410
1422,1839,21,20,420
1480,1839,21,20,378
1537,1839,23,20,424
1593,1838,22,21,418
1647,1838,22,20,440
1706,1838,21,20,404
1761,1838,22,21,390
1820,1838,22,19,418
1876,1838,22,19,402
450,1841,22,21,446
508,1841,22,21,445
565,1841,22,21,445
623,1841,22,20,440
679,1841,23,20,460
738,1840,23,21,436
795,1840,22,21,462
853,1840,23,22,468
910,1840,22,21,443
966,1840,23,20,460
1023,1840,22,20,440
1081,1840,22,20,424
1139,1840,22,20,440
1877,1923,21,21,424
1933,1923,22,21,430
1989,1923,21,20,420
2046,1923,22,20,440
2103,1923,22,21,446
2159,1923,23,21,424
2311,1922,22,20,422
1368,1925,21,21,424
1423,1925,21,21,410
1481,1925,21,20,420
1538,1925,22,20,423
1594,1925,22,20,422
1648,1924,21,21,424
1706,1924,21,20,420
1762,1924,21,20,420
1821,1924,22,20,440
796,1927,22,21,445
854,1927,23,21,449
911,1927,22,20,440
968,1926,22,21,442
1024,1927,22,20,440
1082,1926,22,21,439
