x,y,width,height,area,group_number
788,1402,23,21,429,9
847,1402,22,21,450,9
903,1402,23,20,443,9
960,1402,22,21,449,9
1016,1402,23,20,443,9
1075,1402,22,20,423,9
1133,1402,21,20,420,9
1188,1402,23,20,427,9
1246,1401,23,21,382,9
1302,1402,22,20,408,9
1360,1402,22,20,424,9
1416,1402,22,20,424,9
1474,1402,22,20,424,9
1532,1402,22,20,429,9
1587,1402,22,20,423,9
1642,1402,21,20,375,9
1700,1402,22,20,425,9
1757,1401,22,21,406,9
1817,1401,21,20,420,9
1873,1401,22,21,427,9
1931,1401,21,20,420,9
1986,1400,22,21,432,9
2044,1401,22,20,440,9
2100,1401,22,20,409,9
2155,1400,23,21,431,9
2308,1397,23,21,483,9
443,1489,22,21,462,10
502,1489,22,21,444,10
558,1490,23,20,449,10
617,1489,23,21,446,10
674,1489,23,21,469,10
734,1489,21,21,441,10
790,1489,22,21,445,10
848,1489,22,20,440,10
905,1489,22,20,425,10
961,1489,22,20,425,10
1017,1488,23,21,400,10
1076,1489,22,20,406,10
1134,1489,21,20,404,10
1189,1489,23,19,421,10
1248,1488,22,20,423,10
1303,1488,22,21,415,10
1362,1488,21,21,407,10
1417,1489,22,19,402,10
1475,1488,22,20,440,10
1533,1488,22,20,440,10
1589,1488,22,20,440,10
1643,1488,22,20,410,10
1702,1488,21,20,402,10
1758,1488,22,20,407,10
1817,1488,22,20,405,10
1873,1488,22,20,421,10
1931,1488,21,19,399,10
1987,1488,22,19,404,10
2044,1487,22,20,440,10
2100,1487,22,20,440,10
2155,1487,23,20,460,10
2307,1485,24,19,440,10
446,1664,22,21,462,11
505,1664,22,21,462,11
562,1664,22,21,448,11
620,1664,23,21,450,11
677,1664,23,21,466,11
736,1664,22,20,440,11
793,1663,22,21,448,11
851,1663,22,21,462,11
908,1663,22,21,447,11
964,1663,22,21,445,11
1020,1663,23,21,468,11
1078,1663,23,21,427,11
1136,1663,22,21,446,11
1192,1663,22,20,424,11
1250,1663,22,20,425,11
1306,1663,21,20,420,11
1364,1663,22,20,423,11
1420,1662,21,21,428,11
1477,1662,22,21,441,11
1535,1662,22,21,462,11
1591,1662,21,21,441,11
1645,1662,21,20,420,11
1703,1661,22,21,420,11
1759,1662,22,20,423,11
1819,1662,21,20,420,11
1874,1662,22,20,440,11
1931,1662,22,20,424,11
1987,1661,22,21,414,11
2045,1661,22,21,446,11
