x,y,width,height,area,group_number,classification
475,3437,22,20,406,29,0
533,3436,22,20,440,29,1
589,3435,21,19,385,29,0
648,3434,21,19,399,29,0
704,3433,23,20,444,29,1
763,3433,22,19,403,29,0
819,3431,22,20,407,29,0
877,3430,22,20,421,29,0
934,3430,21,19,399,29,0
990,3428,22,21,382,29,1
1046,3428,21,20,404,29,0
1103,3428,22,19,387,29,0
1161,3427,21,20,420,29,0
1216,3427,22,20,407,29,1
1274,3427,21,19,384,29,0
1329,3426,21,19,399,29,0
1387,3425,21,20,387,29,0
1442,3425,21,19,384,29,0
1499,3423,22,20,429,29,1
1556,3423,22,19,407,29,0
1612,3422,21,20,402,29,0
1665,3422,22,19,392,29,1
1723,3422,22,19,387,29,0
1779,3421,21,20,402,29,0
1838,3420,21,20,403,29,0
1893,3420,22,20,440,29,0
1950,3419,21,20,384,29,1
2005,3418,21,20,404,29,0
2062,3417,21,20,408,29,0
2116,3416,21,20,407,29,0
2170,3414,21,20,406,29,1
2315,3408,21,20,407,29,0
