x,y,width,height,area,group_number,classification
1640,1130,21,20,420,7,0
1697,1131,22,20,440,7,0
1753,1131,22,20,424,7,0
1813,1131,22,20,425,7,0
1869,1131,22,20,440,7,1
1928,1130,21,21,441,7,0
1983,1130,22,20,440,7,0
2041,1130,22,20,440,7,0
2097,1130,22,20,440,7,0
2153,1129,22,21,462,7,0
2306,1126,22,20,440,7,0
440,1309,23,21,437,8,1
499,1309,22,20,440,8,0
555,1309,23,21,448,8,1
614,1309,22,21,443,8,0
671,1309,23,21,468,8,0
730,1309,22,20,423,8,0
787,1308,22,21,412,8,1
845,1308,22,21,444,8,0
902,1308,22,21,450,8,1
958,1308,22,21,428,8,0
1015,1308,22,21,447,8,1
1073,1308,22,21,413,8,0
1131,1308,22,20,410,8,0
1187,1308,22,20,440,8,1
1245,1308,22,20,424,8,0
1301,1308,22,20,410,8,0
1359,1308,22,21,446,8,1
1415,1308,22,21,426,8,0
1472,1308,23,21,437,8,1
1531,1308,22,21,435,8,0
1587,1309,21,20,420,8,0
1641,1309,21,20,420,8,0
1699,1309,22,20,440,8,1
1755,1309,21,20,420,8,0
1815,1308,22,20,423,8,1
1871,1308,23,20,444,8,0
1930,1308,21,20,420,8,0
1986,1307,22,20,423,8,0
2044,1307,21,20,420,8,1
2100,1307,22,20,440,8,0
2155,1307,21,20,420,8,0
2307,1303,23,21,466,8,0
442,1402,21,20,420,9,0
500,1402,23,20,432,9,1
557,1402,22,20,405,9,0
616,1402,22,21,449,9,1
673,1403,22,19,418,9,0
732,1402,21,21,404,9,1
788,1402,23,21,429,9,0
847,1402,22,21,450,9,1
903,1402,23,20,443,9,0
960,1402,22,21,449,9,1
1016,1402,23,20,443,9,0
1075,1402,22,20,423,9,0
1133,1402,21,20,420,9,1
1188,1402,23,20,427,9,0
1246,1401,23,21,382,9,1
1302,1402,22,20,408,9,0
1360,1402,22,20,424,9,0
1416,1402,22,20,424,9,1
1474,1402,22,20,424,9,0
1532,1402,22,20,429,9,1
1587,1402,22,20,423,9,0
1642,1402,21,20,375,9,1
1700,1402,22,20,425,9,0
1757,1401,22,21,406,9,0
1817,1401,21,20,420,9,0
